DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Taxa barchart2
COLOR	#00FF00
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
FIELD_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
LEGEND_TITLE	Dataset legend
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
LEGEND_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
MARGIN	0
WIDTH	200
DATA
Syncerus_caffer	950	0	50	116929	68	109	22743	3	0
Hippopotamus_amphibius	4370	0	207	261299	845	12	18012	20	68
Equus_quagga	8559	163	14696	239300	2096	581	64005	2285	0
Procyon_lotor	25755	0	4	151596	146	0	3124	0	28800
Camelus_bactrianus	554	87	10653	49651	47	877	25013	877	0
Calidris_alpina	802	2	3	5938	11	16	73	7	3366
Canis_lupus	4469	8	4	286736	7849	0	57407	0	37987
Eliomys_quercinus	250	0	0	98187	316	0	9	0	13
Glis_glis	59039	11	4	31750	93	0	1077	0	29
Vipera_ursinii	168033	45	1674	73320	801	1830	72454	481	2553
Sciurus_vulgaris	53	0	0	2334	8	3	4427	0	0
Bufo_bufo	27777	52	22280	112380	864	6327	52684	0	220
Aspius_aspius	822	25	13	12484	23	44	9	0	13729
Mus_musculus	146	0	0	17006	21	47	42048	2	9
Asio_otus	681	0	70	14548	1606	62	2713	0	63
Crocidura_suaveolens	54543	6	47	691	465	0	10	0	0
Cyprinus_carpio	23697	0	3	7153	21	77	97	3	780
Lagopus_muta	900	0	0	57380	5453	537	1766	15	34
Nomascus_gabriellae	1662	0	52	38752	840	35	55076	348	46
Parus_major	6894	310	96	32348	2052	5440	4947	0	397
Nyctereutes_procyonoides	1348	0	8	71918	2785	662	3118	195	3878
Cervus_elaphus	12325	577	11806	850870	1166	1528	311212	10309	149
Apodemus_flavicollis	1399	0	246	37307	167	2170	45884	86	16
Felis_catus	11221	0	6	187848	9831	44	74941	0	4289
Corvus_corone	1708	0	0	22695	0	0	7	0	0
Nycticebus_pygmaeus	10308	0	96	22098	4972	232	46373	281	932
Trachypithecus_hatinhensis	17898	158	825	48429	352	841	2975	141	7
Trachypithecus_delacouri	19452	115	359	67729	68	1509	7627	60	15
Nomascus_siki	19439	0	0	37774	2854	57	16326	8	18
Testudo_hermanni	304	78	19	30799	1315	73	3412	0	1694
Circus_aeruginosus	26496	0	0	3268	0	0	11	0	42587
Branta_leucopsis	109895	0	10	54470	1813	0	246	0	18
Trichosurus_vulpecula	431	0	533	131955	15	239	2491	4346	7
Macropus_giganteus	11767	91	7279	82266	31167	45	18946	248	608
Dromaius_novaehollandiae	75008	3	46	14935	440	0	2446	41	0
Gallus_gallus	555	0	0	58059	339	23	28	0	7
Carassius_gibelio	26906	526	905	12007	1239	203	367	155	3411
Meleagris_gallopavo	3570	0	11	85981	467	0	24	0	0
Leuciscus_idus	8283	10	20	9129	405	266	888	5	47309
Phocoena_phocoena	2340	0	3	28342	72	0	420	0	31641
Balaenoptera_borealis	627	0	132	23391	98	711	54016	19	122
Anas_platyrhynchos	2925	0	2	76934	553	6	198	0	522
Manis_temminckii	62505	0	6	4426	17	0	18	0	16
Lissotriton_vulgaris	4533	88	202	61	301	47	2502	0	0
Natrix_natrix	51292	33	66	3593	3692	0	6275	2	1996
Potos_flavus	22920	2	31	3526	26	0	76	0	185
Choloepus_hoffmanni	4285	0	42970	55924	19209	237	37386	422	97
Tamandua_mexicana	58386	7	4337	54364	339	96	31704	6	12466
Bradypus_variegatus	2718	220	18634	65152	915	211	11471	233	15
Lepus_tolai	186	0	3	65306	2227	118	8686	0	25
Gazella_subgutturosa	448	35	1315	49202	160	214	11994	501	11
Strix_uralensis	26259	0	0	45550	3160	0	4965	0	10
Dendrocopos_major	22237	0	0	74822	45	0	65	0	0
Caprimulgus_europaeus	34836	0	0	28855	9	0	16	0	9
Capreolus_capreolus	993	0	93	63368	198	18	35564	707	17
Lutra_lutra	967	0	0	77300	21	18	1429	41	10
Tringa_glareola	89980	0	3	150	0	0	10	0	17
Esox_lucius	58644	5	6	37725	11	0	7079	14	73959
Dama_dama	1113	127	999	152980	405	638	48615	537	41
Ovis_aries	374	22	513	56875	167	233	23001	608	0
Porites_lobata	186009	237	175	51	36	48	2360	685	93
Pocillopora_elegans	183608	293	228	21	90	149	3019	9627	168
Acropora_hyacinthus	39601	817	1547	33	129	140	5694	3405	91
Stegastes_nigricans	134862	47704	16916	22092	6293	7938	24874	13554	12723
