,0
118,3575.0
C25,3554.0
C19,3521.0
A101,3473.0
F20,3472.0
WS37,3312.0
WS36,3252.0
130,3231.0
WS7,3230.0
99,3228.0
211,3201.0
100,3184.0
C5,3174.0
203,3160.0
68,3115.0
317,3104.0
206,3062.0
144,3017.0
116,2999.0
104,2993.0
C21,2974.0
119,2965.0
117,2941.0
168,2907.0
54,2869.0
172,2806.0
WS45,2792.0
131,2784.0
C28,2747.0
283,2730.0
148,2723.0
24,2661.0
32,2653.0
139,2547.0
39,2453.0
134,2434.0
278,2372.0
W60,2368.0
WS38,2366.0
A4,2363.0
C12,2344.0
C9,2336.0
WS32,2253.0
WS20,2229.0
197,2177.0
259,2145.0
166,2100.0
WS41,2083.0
179,2078.0
F326,2020.0
WS19,2000.0
191,1999.0
WS3,1987.0
204,1974.0
WS6,1948.0
162,1918.0
260,1913.0
200,1910.0
301,1870.0
WS4,1825.0
238,1825.0
C8,1821.0
WS10,1799.0
159,1793.0
F164,1791.0
WS40,1788.0
WS22,1771.0
C17,1764.0
107,1754.0
282,1754.0
WS17,1683.0
WS23,1680.0
88,1679.0
66,1606.0
258,1569.0
C2,1539.0
105,1538.0
264,1516.0
T51,1512.0
190,1498.0
202,1387.0
T41,1362.0
196,1333.0
W65,1328.0
177,1308.0
86,1256.0
128,1198.0
72,1189.0
85,1156.0
161,1064.0
164,1058.0
C4,1056.0
WS30,1030.0
63,1022.0
257,1020.0
T57,1008.0
106,991.0
A32,987.0
185,877.0
T106,871.0
187,870.0
198,858.0
RP,846.0
T69,818.0
176,814.0
WS27,807.0
WS21,761.0
244,756.0
73,737.0
64,735.0
178,734.0
25,707.0
87,672.0
243,646.0
228,612.0
A152,610.0
WS18,605.0
d,597.0
WS1,590.0
GP,564.0
WS34,548.0
WS33,528.0
214,507.0
157,499.0
251,498.0
17,472.0
A58,404.0
c,391.0
27,386.0
Saki,385.0
239,377.0
FL,364.0
183,364.0
DL,349.0
91,333.0
241,327.0
arma,323.0
33,300.0
RPSD,299.0
GORSD,295.0
ECH,293.0
182,288.0
A105,282.0
F71,282.0
M299,281.0
ML,280.0
molerat,279.0
AFEL2,277.0
horsej,273.0
bat,273.0
PB2,267.0
BH2,261.0
205,259.0
AFEL,252.0
AFYEL,252.0
156,248.0
SPIM,244.0
252,231.0
orang1,231.0
AFZEB,228.0
AS3,225.0
F86,225.0
orang2,222.0
SQ,222.0
PB1,219.0
LI3,217.0
220,208.0
AFEL3,208.0
GZ,207.0
COL,206.0
HH,204.0
horsem,204.0
CHIMP1,196.0
BAZ,195.0
SB,195.0
RT,193.0
BH1,192.0
AS2,189.0
212,189.0
KO1,178.0
AFBAB,173.0
GOR,173.0
RH,172.0
BARB,171.0
gir,171.0
WA,168.0
TU1,167.0
RRH,165.0
BHSD,163.0
SBSD,163.0
AE2,161.0
CAP,158.0
TAK,157.0
AE1,156.0
69,151.0
EAC,149.0
HRX,142.0
VWP,139.0
FF,134.0
TU2,133.0
AS1,124.0
bdog1,119.0
A104,116.0
RHSD,114.0
LI2,111.0
IR,110.0
KO2,97.0
AE3,95.0
BG,95.0
194,90.0
CE3,90.0
SP2,89.0
BNO,88.0
MAR,85.0
SP3,83.0
160,81.0
BB2,78.0
BB1,74.0
BKLE,66.0
OK3,56.0
OK2,53.0
CAL,50.0
CE2,46.0
HY2,45.0
OK1,44.0
HY1,44.0
192,42.0
RA,40.0
CHIMP12,38.0
21,36.0
bdog3,34.0
LI1,34.0
SBK,24.0
b,18.0
44,13.0
F311,5.0
41,4.0
184,2.0
45,2.0
193,2.0
4,1.0
207,1.0
