DATASET_MULTIBAR									
SEPARATOR TAB									
DATASET_LABEL	Taxa barchart2								
COLOR	#00FF00								
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
FIELD_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
LEGEND_TITLE	Dataset legend								
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00
LEGEND_LABELS	Proteobacteria	Planctomycetota	Verrucomicrobiota	Firmicutes	Actinobacteriota	Desulfobacterota	Bacteroidota	Cyanobacteria	Fusobacteriota
MARGIN	0								
WIDTH	200								
DATA									
'Aspius_aspius'	3.027735828	0.092084423	0.0478839	45.98327747	0.084717669	0.162068584	0.033150392	0	50.56908173
'Mus_musculus'	0.246292954	0	0	28.68806829	0.035425699	0.079286088	70.93237065	0.003373876	0.015182442
'Asio_otus'	3.449323811	0	0.354556045	73.68687636	8.134528694	0.314035354	13.74157929	0	0.319100441
'Crocidura_suaveolens'	97.81392346	0.010760016	0.08428679	1.239195151	0.833901223	0	0.01793336	0	0
'Cyprinus_carpio'	74.44629449	0	0.009424775	22.47180422	0.065973422	0.241902548	0.304734378	0.009424775	2.450441394
'Lagopus_muta'	1.361882424	0	0	86.82757055	8.251494288	0.812589846	2.672315957	0.02269804	0.051448892
'Nomascus_gabriellae'	1.716747064	0	0.053712905	40.02850916	0.867669996	0.036152917	56.89022942	0.359463284	0.047515262
'Parus_major'	13.13543175	0.5906562	0.182912888	61.6340218	3.909762975	10.36506364	9.425729746	0	0.756421004
'Nyctereutes_procyonoides'	1.606444847	0	0.009533797	85.70645438	3.318953189	0.788921728	3.715797502	0.232386309	4.621508247
'Cervus_elaphus'	1.027132978	0.048085657	0.983880888	70.90926061	0.097171363	0.127339488	25.93558689	0.859124858	0.012417267
'Apodemus_flavicollis'	1.602979089	0	0.28186766	42.74649098	0.191349184	2.486393584	52.57404755	0.098539101	0.018332856
'Felis_catus'	3.893746964	0	0.002082032	65.18425984	3.411409536	0.015268235	26.00492748	0	1.48830592
'Corvus_corone'	6.997132323	0	0	92.97419091	0	0	0.028676772	0	0
